transaction_real_price,city,exclusive_use_area,floor,total_parking_capacity_in_site,total_household_count_in_sites,apartment_building_count_in_sites,heat_type,heat_fuel,front_door_structure,supply_area,total_household_count_of_area_type,room_count,bathroom_count
261000000,0,83.5,22,1037.0,1026,12,individual,gas,stairway,112.5,640,3.0,2.0
515000000,1,84.91,9,250.0,242,4,individual,gas,stairway,108.34,166,3.0,2.0
595000000,1,118.25,13,1299.0,1080,8,central,gas,stairway,137.65,180,0.0,0.0
160000000,1,49.77,4,706.0,1313,9,district,cogeneration,corridor,67.36,408,2.0,1.0
208500000,1,49.94,3,676.0,2265,26,district,cogeneration,corridor,71.05,585,2.0,1.0
93550000,0,49.14,15,700.0,990,7,individual,gas,mixed,62.81,556,2.0,1.0
460000000,0,84.71700000000001,4,1277.0,1110,13,individual,gas,stairway,118.97,488,3.0,2.0
865000000,1,128.81,18,4418.0,2603,37,district,cogeneration,stairway,160.26,148,4.0,2.0
510000000,1,84.9883,5,716.0,544,10,individual,gas,stairway,108.59,21,3.0,2.0
35000000,0,45.5,17,230.0,996,7,individual,gas,corridor,63.17,996,3.0,1.0
185000000,0,59.997,1,2716.0,2302,24,individual,gas,stairway,80.72,200,2.0,1.0
135000000,0,63.27,1,136.0,200,1,individual,gas,corridor,84.59,80,3.0,1.0
246000000,1,59.72,5,206.0,194,2,individual,gas,corridor,72.99,91,3.0,1.0
628000000,1,101.993,11,1651.0,1122,22,individual,gas,stairway,125.47,60,3.0,2.0
299900000,1,39.6,4,522.0,1372,6,district,cogeneration,corridor,52.96,520,2.0,1.0
525000000,0,174.107,29,5755.0,3000,15,individual,gas,stairway,231.27,389,4.0,2.0
415000000,1,79.4198,8,311.0,251,2,individual,gas,stairway,111.21,97,3.0,2.0
275500000,0,126.63799999999999,18,2381.0,1391,14,individual,gas,stairway,152.17,298,4.0,2.0
1451670000,1,142.034,28,2322.0,617,3,individual,gas,stairway,190.2,178,4.0,2.0
293000000,1,72.92,10,583.0,660,9,individual,gas,stairway,88.14,60,3.0,1.0
134000000,0,84.86,4,363.0,352,3,individual,gas,stairway,104.19,148,3.0,2.0
226500000,0,84.99,22,3776.0,3382,35,individual,gas,stairway,107.48,850,3.0,2.0
550000000,1,84.955,18,767.0,532,6,individual,gas,stairway,111.22,235,3.0,2.0
192000000,1,41.85,12,,445,5,district,cogeneration,corridor,56.83,445,2.0,1.0
153000000,0,77.85,1,1500.0,1963,15,central,gas,stairway,95.12,104,3.0,1.0
251000000,1,49.94,10,550.0,1430,14,central,gas,corridor,72.73,210,2.0,1.0
388000000,0,134.95,3,1070.0,1070,14,district,cogeneration,stairway,171.14,126,4.0,2.0
86500000,0,59.9,6,320.0,511,4,individual,gas,corridor,83.6,367,3.0,1.0
450000000,1,84.9,12,1352.0,939,15,individual,gas,stairway,107.42,358,3.0,2.0
250000000,1,84.96,5,1188.0,1329,16,individual,gas,stairway,102.68,240,3.0,2.0
1535000000,1,110.39,5,461.0,354,5,district,cogeneration,mixed,142.62,196,4.0,2.0
323000000,0,85.0,19,,1258,15,individual,gas,stairway,107.97,198,3.0,2.0
417000000,1,90.94,11,676.0,2265,26,district,cogeneration,stairway,118.08,150,3.0,2.0
110000000,0,31.98,3,380.0,380,8,individual,gas,stairway,37.38,199,1.0,1.0
580000000,1,114.39,1,600.0,400,6,central,gas,stairway,136.09,220,4.0,2.0
850000000,1,84.95,12,1643.0,1004,14,district,cogeneration,stairway,109.57,69,3.0,2.0
538000000,1,59.99,8,1027.0,847,10,district,gas,stairway,85.02,242,3.0,2.0
83500000,1,41.3,12,1710.0,1710,10,central,gas,corridor,57.15,0,2.0,1.0
240000000,0,84.96,4,239.0,232,3,individual,gas,stairway,106.9,50,3.0,2.0
260000000,1,84.6,19,195.0,242,2,individual,gas,stairway,108.15,117,3.0,2.0
322000000,1,59.25,2,912.0,912,8,individual,cogeneration,corridor,76.96,330,2.0,1.0
166000000,0,84.99,4,979.0,880,13,district,cogeneration,stairway,107.82,188,3.0,2.0
1335000000,1,114.17,10,231.0,133,3,individual,gas,stairway,138.32,31,4.0,2.0
390000000,1,100.35,9,983.0,680,13,district,cogeneration,stairway,122.51,208,3.0,2.0
898000000,1,84.81,12,957.0,787,14,individual,gas,stairway,114.58,61,3.0,2.0
305000000,1,71.52,1,120.0,120,1,individual,gas,stairway,88.77,40,3.0,2.0
530000000,1,59.58,12,144.0,128,3,individual,gas,stairway,82.02,13,3.0,2.0
281000000,1,67.41,15,413.0,591,4,individual,gas,corridor,93.03,290,2.0,1.0
620000000,1,116.98,10,350.0,292,6,individual,gas,stairway,147.51,38,4.0,2.0
750000000,0,153.208,5,867.0,415,4,district,cogeneration,stairway,187.37,104,5.0,3.0
74500000,0,67.32,1,,231,1,individual,gas,corridor,85.07,100,3.0,1.0
343080000,1,84.53,6,465.0,410,9,district,cogeneration,stairway,111.7,46,3.0,2.0
83000000,0,58.65,7,551.0,1484,14,individual,gas,corridor,80.74,174,2.0,1.0
825000000,1,84.755,11,2300.0,2400,18,central,gas,stairway,100.73,432,3.0,1.0
1155000000,1,81.75,1,3930.0,3930,30,district,cogeneration,stairway,115.7,300,3.0,1.0
125000000,0,84.93,11,702.0,848,11,individual,gas,stairway,102.91,160,3.0,2.0
409000000,1,84.97,14,,1890,15,district,cogeneration,stairway,101.53,600,3.0,2.0
410000000,1,57.78,1,1161.0,1008,15,individual,gas,stairway,77.6,343,3.0,2.0
646000000,0,119.851,58,3728.0,1631,3,individual,gas,stairway,173.39,56,4.0,2.0
93000000,0,84.94,15,765.0,795,7,individual,gas,stairway,100.47,30,3.0,2.0
450000000,1,38.9,9,,546,6,district,cogeneration,corridor,56.58,0,2.0,1.0
532000000,1,59.97,10,428.0,437,5,individual,gas,stairway,81.15,223,3.0,1.0
410000000,1,84.9,11,278.0,348,3,individual,gas,stairway,103.47,172,3.0,2.0
299000000,1,79.84,8,160.0,151,1,individual,gas,stairway,102.48,12,3.0,2.0
400000000,1,66.24,2,646.0,1595,19,district,cogeneration,corridor,94.45,795,2.0,1.0
550000000,1,84.95,11,182.0,160,2,individual,gas,stairway,106.39,22,3.0,2.0
281000000,1,59.4,5,713.0,652,8,district,cogeneration,corridor,83.27,186,3.0,1.0
520000000,1,84.99,2,650.0,561,15,individual,gas,stairway,107.86,28,3.0,2.0
174000000,1,44.52,7,78.0,1800,10,central,gas,corridor,59.2,1800,2.0,1.0
213000000,0,59.99,20,1050.0,1721,16,district,cogeneration,stairway,80.41,780,3.0,1.0
1050000000,1,84.99,10,7876.0,5563,65,district,cogeneration,stairway,110.3,350,3.0,2.0
183000000,0,59.9337,4,1846.0,1638,16,individual,gas,stairway,79.54,560,3.0,2.0
1050000000,1,100.8,23,479.0,309,4,district,cogeneration,stairway,132.23,10,4.0,2.0
380000000,1,59.94,6,1535.0,1410,19,individual,gas,stairway,80.99,188,2.0,1.0
95000000,0,84.93,24,702.0,848,11,individual,gas,stairway,102.91,160,3.0,2.0
200000000,0,65.9876,12,1888.0,1500,17,district,cogeneration,stairway,86.19,300,3.0,2.0
220000000,1,59.9627,1,183.0,169,4,individual,gas,stairway,81.38,37,3.0,2.0
585000000,1,84.32,6,146.0,130,2,individual,gas,stairway,115.54,130,3.0,2.0
897000000,1,42.55,5,1136.0,2841,58,individual,gas,stairway,42.55,1580,2.0,1.0
438000000,1,76.51,11,2328.0,2328,18,district,cogeneration,stairway,94.25,360,3.0,2.0
1530000000,1,84.96,6,2906.0,2435,21,district,cogeneration,corridor,114.77,280,3.0,1.0
98000000,1,34.44,5,272.0,840,4,district,cogeneration,corridor,44.84,255,2.0,1.0
360000000,1,59.64,15,3012.0,2938,16,individual,gas,corridor,81.61,1139,3.0,1.0
193000000,1,59.88,3,2776.0,2298,27,individual,gas,corridor,82.5,384,3.0,1.0
189000000,0,59.6,7,682.0,824,9,district,cogeneration,stairway,80.33,552,3.0,1.0
142000000,0,72.54,1,,828,12,individual,gas,stairway,85.03,132,3.0,1.0
81500000,0,42.35,2,,340,6,individual,gas,stairway,49.01,260,3.0,1.0
252500000,1,59.88,16,659.0,746,5,individual,gas,corridor,84.82,380,3.0,2.0
370000000,1,51.48,3,646.0,1595,19,district,cogeneration,corridor,74.79,720,2.0,1.0
440000000,1,84.66,1,912.0,912,8,individual,cogeneration,corridor,107.46,72,3.0,1.0
570000000,1,114.08,10,638.0,527,10,individual,gas,stairway,138.78,23,4.0,2.0
675000000,1,52.72,4,930.0,620,8,district,cogeneration,corridor,73.66,234,2.0,1.0
318000000,1,84.96,2,400.0,494,6,district,cogeneration,stairway,102.4,479,3.0,2.0
200000000,0,104.76,12,284.0,297,1,individual,gas,corridor,134.7,27,3.0,2.0
565000000,0,125.4155,19,4599.0,2752,14,individual,gas,stairway,166.76,470,4.0,2.0
136000000,0,59.99,21,1367.0,1408,10,individual,gas,corridor,80.49,504,3.0,1.0
970000000,1,152.222,14,1651.0,1122,22,individual,gas,stairway,181.22,108,4.0,2.0
450000000,1,47.94,19,783.0,1368,15,district,cogeneration,corridor,65.01,0,2.0,1.0
257000000,1,49.82,13,1650.0,1650,12,district,cogeneration,corridor,71.0,492,3.0,1.0
104000000,0,84.99,2,3776.0,3382,35,individual,gas,stairway,107.48,850,3.0,2.0
122000000,0,47.37,8,,1620,16,individual,gas,corridor,62.81,390,2.0,1.0
157000000,1,39.78,12,379.0,1192,8,central,gas,corridor,55.88,183,2.0,1.0
403000000,1,84.96,6,5402.0,5387,49,central,gas,stairway,106.86,792,3.0,2.0
167000000,0,84.94,13,500.0,412,5,individual,gas,stairway,105.52,316,3.0,2.0
160000000,0,84.9341,23,330.0,298,3,individual,gas,stairway,120.2,198,3.0,2.0
480000000,1,84.97,10,153.0,125,2,individual,gas,stairway,106.94,125,3.0,2.0
970000000,1,84.97,5,7712.0,5678,72,district,cogeneration,stairway,109.47,556,3.0,2.0
188000000,0,84.94,5,495.0,714,7,individual,gas,stairway,102.94,714,3.0,1.0
329000000,0,84.98,1,619.0,362,3,individual,gas,stairway,108.11,266,3.0,2.0
189430000,0,84.9902,2,4697.0,3462,49,individual,gas,stairway,111.19,1534,3.0,2.0
650000000,1,101.95,2,500.0,478,11,district,cogeneration,stairway,122.89,180,4.0,2.0
310000000,1,84.96,8,937.0,786,13,central,gas,stairway,108.46,275,3.0,2.0
232000000,1,59.85,9,463.0,390,4,individual,gas,stairway,82.43,17,2.0,1.0
149000000,0,59.816,2,682.0,682,10,district,cogeneration,stairway,74.03,114,3.0,1.0
158300000,0,59.97,10,931.0,874,7,individual,gas,corridor,84.62,470,2.0,1.0
319000000,1,84.962,12,539.0,454,8,individual,gas,stairway,106.0,376,3.0,2.0
1350000000,1,84.465,10,1335.0,713,11,district,cogeneration,stairway,107.36,80,3.0,2.0
290000000,1,59.65,11,729.0,714,15,individual,gas,stairway,79.72,78,3.0,2.0
425000000,1,54.81,6,2300.0,2400,18,central,gas,corridor,76.44,495,3.0,1.0
95000000,1,44.52,10,78.0,1800,10,central,gas,corridor,59.2,1800,2.0,1.0
165000000,0,59.946000000000005,10,1093.0,1002,12,district,cogeneration,stairway,79.59,444,3.0,1.0
307000000,0,84.99,9,932.0,841,29,individual,gas,stairway,112.25,135,3.0,2.0
377910000,1,84.89,2,530.0,412,14,district,cogeneration,stairway,108.83,195,3.0,2.0
850000000,1,84.5978,19,4580.0,3885,51,individual,gas,stairway,112.7,501,3.0,2.0
105000000,0,59.67,3,,1620,16,individual,gas,corridor,78.29,150,3.0,1.0
693000000,1,25.42,4,959.0,1372,47,central,gas,stairway,25.42,50,1.0,1.0
63000000,0,46.32,9,,1110,10,individual,gas,stairway,64.9,1110,3.0,1.0
535000000,1,84.97,18,3310.0,2517,42,district,cogeneration,stairway,107.49,120,3.0,2.0
360000000,1,147.32,12,,121,2,individual,gas,stairway,183.41,2,5.0,2.0
473000000,1,84.65,9,1300.0,1342,10,central,gas,corridor,112.32,540,3.0,1.0
203000000,0,59.6572,13,453.0,466,3,individual,gas,stairway,81.09,191,3.0,2.0
945000000,1,84.99,4,7876.0,5563,65,district,cogeneration,stairway,110.3,350,3.0,2.0
593000000,1,81.23,1,240.0,208,2,district,gas,stairway,113.02,119,3.0,2.0
538000000,1,59.92,14,551.0,657,7,district,cogeneration,stairway,83.98,114,3.0,2.0
207000000,0,84.9402,26,865.0,800,7,individual,gas,stairway,107.83,434,3.0,2.0
650000000,1,65.1,1,783.0,1368,15,district,cogeneration,corridor,88.32,0,2.0,1.0
667000000,1,101.9176,13,3210.0,2061,25,individual,gas,stairway,136.16,411,3.0,2.0
250000000,1,59.43,16,233.0,284,3,individual,gas,stairway,81.66,128,3.0,1.0
200000000,1,32.34,7,255.0,350,1,individual,gas,corridor,40.54,298,1.0,1.0
340000000,1,84.973,11,122.0,103,2,individual,gas,stairway,106.1,77,3.0,2.0
600000000,1,59.99,3,4596.0,3226,40,individual,gas,stairway,87.41,442,3.0,2.0
100000000,0,41.3,3,1578.0,2544,18,individual,gas,corridor,58.74,718,2.0,1.0
240000000,1,49.6,4,1239.0,1676,21,district,cogeneration,corridor,69.32,1166,2.0,1.0
390000000,1,83.21,23,1930.0,1482,9,individual,gas,stairway,107.43,670,3.0,2.0
341000000,1,59.854,4,201.0,205,5,individual,gas,stairway,75.44,103,3.0,2.0
157000000,1,39.6,13,334.0,884,5,district,gas,corridor,50.85,360,2.0,1.0
470000000,1,84.74,3,571.0,442,9,district,cogeneration,stairway,110.74,66,3.0,2.0
435000000,1,52.77,1,,396,2,district,cogeneration,corridor,58.03,308,2.0,1.0
540000000,1,114.75200000000001,10,2733.0,2197,30,individual,gas,stairway,140.05,511,4.0,2.0
170000000,1,59.97,13,164.0,170,1,individual,gas,stairway,89.57,13,3.0,1.0
1005000000,0,157.513,43,3728.0,1631,3,individual,gas,stairway,237.11,1,4.0,2.0
598000000,0,80.794,31,3728.0,1631,3,individual,gas,stairway,118.46,50,2.0,2.0
163000000,0,109.69,11,136.0,217,2,individual,gas,stairway,130.89,60,4.0,2.0
144000000,1,36.66,22,340.0,461,1,individual,gas,corridor,48.96,66,1.0,1.0
100000000,0,82.094,13,282.0,296,2,individual,gas,stairway,106.48,239,3.0,1.0
253000000,0,84.71700000000001,11,1277.0,1110,13,individual,gas,stairway,118.97,488,3.0,2.0
220000000,1,43.92,22,1314.0,1162,7,central,gas,corridor,56.68,219,1.0,1.0
162000000,1,41.3,9,1710.0,1710,10,central,gas,corridor,57.15,0,2.0,1.0
898000000,1,59.96,26,7712.0,5678,72,district,cogeneration,stairway,84.75,1150,3.0,2.0
153000000,1,59.39,9,,1764,12,district,cogeneration,corridor,77.11,240,2.0,1.0
103000000,0,49.94,13,1600.0,1320,10,individual,gas,corridor,69.1,180,2.0,1.0
157000000,1,59.92,6,705.0,601,4,individual,gas,corridor,86.1,250,3.0,1.0
675000000,1,84.97,5,3310.0,2517,42,district,cogeneration,stairway,107.49,55,3.0,2.0
1920000000,1,160.33,10,572.0,203,4,individual,gas,stairway,194.26,29,3.0,2.0
710000000,1,84.85799999999999,14,1108.0,810,17,individual,gas,stairway,109.08,49,3.0,2.0
360000000,1,84.76,19,4804.0,3830,54,individual,gas,stairway,109.28,760,3.0,2.0
375000000,1,59.99,10,1806.0,1497,25,individual,gas,stairway,85.55,122,3.0,2.0
250000000,1,84.17,14,282.0,445,5,individual,gas,stairway,97.41,207,3.0,2.0
336000000,0,134.64,19,1093.0,1002,12,district,cogeneration,stairway,160.31,226,4.0,2.0
160000000,0,84.98,3,,1258,15,individual,gas,stairway,107.97,198,3.0,2.0
1180000000,1,133.42,14,2504.0,1391,25,individual,gas,stairway,161.01,242,4.0,2.0
277000000,1,63.78,11,878.0,1454,13,central,gas,corridor,84.85,452,3.0,1.0
535000000,0,157.8562,14,1875.0,1156,10,individual,gas,stairway,186.36,140,4.0,2.0
1050000000,1,114.48,7,692.0,577,5,district,gas,mixed,123.67,7,3.0,1.0
380000000,1,59.22,13,600.0,600,4,individual,gas,corridor,77.77,104,3.0,1.0
219000000,0,84.99,14,2716.0,2302,24,individual,gas,stairway,107.86,1028,3.0,2.0
795000000,1,83.06,24,5540.0,5539,122,district,cogeneration,stairway,112.4,1933,3.0,1.0
580000000,1,84.9958,13,2697.0,1653,29,individual,gas,stairway,105.25,615,3.0,2.0
460000000,1,49.993,11,150.0,149,2,individual,gas,stairway,69.79,113,2.0,1.0
105000000,0,73.2,22,1035.0,1016,11,individual,gas,stairway,93.81,134,3.0,1.0
376500000,1,75.42,12,136.0,132,2,individual,gas,stairway,102.39,20,3.0,1.0
179000000,0,59.94,5,1422.0,1422,15,district,cogeneration,corridor,75.18,648,3.0,1.0
443000000,1,84.93,4,366.0,354,6,individual,gas,stairway,105.04,162,3.0,2.0
1018000000,1,82.45,9,2100.0,2100,21,district,cogeneration,corridor,108.43,672,3.0,2.0
500000000,1,83.02,3,381.0,708,6,district,cogeneration,stairway,100.49,76,3.0,2.0
196500000,1,59.88,6,2366.0,1971,28,individual,gas,stairway,85.56,115,3.0,1.0
175000000,1,59.59,18,802.0,860,8,individual,gas,corridor,81.0,275,3.0,1.0
1200000000,1,114.7267,10,4580.0,3885,51,individual,gas,stairway,150.5,216,4.0,2.0
143000000,0,59.76,8,1789.0,1669,10,central,gas,corridor,80.01,675,3.0,1.0
87000000,0,84.43,4,285.0,490,5,individual,gas,stairway,104.31,64,3.0,2.0
861600000,1,84.99,1,920.0,713,7,individual,gas,stairway,112.97,90,3.0,2.0
318000000,1,59.91,7,,113,1,individual,gas,corridor,82.3,45,2.0,1.0
156500000,0,57.15,2,201.0,255,1,individual,gas,corridor,74.15,16,2.0,1.0
427000000,0,84.84,10,938.0,938,12,district,gas,stairway,105.79,514,3.0,2.0
229000000,0,84.95,19,962.0,892,8,individual,gas,stairway,104.73,228,3.0,1.0
395000000,1,84.87,1,1215.0,1215,10,central,gas,stairway,109.97,605,3.0,2.0
550000000,1,84.97,21,470.0,367,6,individual,gas,stairway,107.68,221,3.0,2.0
282500000,1,58.59,6,2561.0,2134,26,individual,gas,corridor,76.39,0,2.0,1.0
360000000,0,84.6389,11,1405.0,998,6,individual,gas,stairway,115.1,336,3.0,2.0
395200000,0,123.307,8,5755.0,3000,15,individual,gas,stairway,164.91,623,4.0,2.0
119000000,0,81.78,21,,992,4,central,gas,stairway,100.97,192,3.0,2.0
394000000,0,144.48,4,1578.0,922,9,individual,gas,stairway,178.06,100,4.0,2.0
178000000,1,41.34,9,434.0,619,3,individual,gas,mixed,57.86,237,2.0,1.0
361700000,0,146.81,15,1180.0,761,17,district,gas,stairway,176.1,87,4.0,2.0
898000000,1,134.33,11,451.0,420,5,individual,gas,stairway,163.39,104,4.0,2.0
172980000,0,84.814,41,631.0,680,1,individual,gas,stairway,117.0,150,3.0,2.0
169500000,0,49.68,1,480.0,480,11,individual,gas,stairway,55.92,220,2.0,1.0
127000000,0,59.97,18,931.0,874,7,individual,gas,corridor,84.62,470,2.0,1.0
340000000,1,84.77,7,305.0,610,6,individual,gas,stairway,105.19,268,3.0,2.0
324000000,0,84.97,5,2252.0,1895,17,individual,gas,stairway,106.74,69,3.0,2.0
298000000,0,84.97,17,1357.0,1166,12,individual,gas,stairway,109.12,579,3.0,2.0
270000000,1,84.78,10,,862,14,individual,gas,stairway,104.32,862,3.0,2.0
49870000,0,46.2,1,565.0,702,10,individual,gas,corridor,67.29,148,2.0,1.0
380100000,0,133.77,3,1551.0,1124,21,individual,gas,stairway,164.23,130,4.0,2.0
120000000,0,46.61,1,21.0,132,2,individual,gas,stairway,58.11,36,3.0,1.0
750000000,1,47.94,20,783.0,1368,15,district,cogeneration,corridor,65.01,0,2.0,1.0
85500000,1,45.54,1,480.0,427,4,district,cogeneration,corridor,64.54,167,2.0,2.0
860000000,1,132.86,10,264.0,264,4,district,cogeneration,stairway,154.76,48,5.0,2.0
105000000,0,38.64,13,1600.0,1320,10,individual,gas,corridor,49.67,360,2.0,1.0
650000000,1,118.25,10,1710.0,855,6,central,gas,stairway,135.86,75,4.0,2.0
298000000,1,59.33,6,1048.0,1213,13,individual,gas,mixed,79.35,170,3.0,1.0
363000000,1,84.78,2,,862,14,individual,gas,stairway,104.32,862,3.0,2.0
450000000,1,84.774,12,693.0,558,8,individual,gas,stairway,110.24,396,3.0,2.0
57500000,0,44.82,4,372.0,372,6,individual,gas,stairway,51.56,372,2.0,1.0
230000000,0,84.5059,6,620.0,432,5,individual,gas,stairway,105.77,278,3.0,2.0
215000000,0,59.99,8,481.0,799,6,district,cogeneration,stairway,79.59,494,3.0,1.0
100000000,0,49.94,12,1418.0,4056,26,individual,gas,corridor,68.73,990,2.0,1.0
118000000,0,59.4,15,75.0,101,1,individual,gas,corridor,90.73,101,2.0,1.0
250000000,0,85.0,12,637.0,613,8,individual,gas,stairway,102.83,299,3.0,2.0
630000000,1,59.97,20,945.0,773,8,district,cogeneration,stairway,84.93,57,3.0,2.0
235500000,0,84.988,12,1162.0,690,14,district,gas,stairway,123.97,120,3.0,2.0
308000000,1,59.94,7,173.0,115,2,individual,gas,stairway,76.04,43,3.0,1.0
505000000,1,84.95200000000001,11,342.0,299,3,individual,gas,stairway,126.74,30,3.0,2.0
667000000,1,84.904,15,561.0,440,7,individual,gas,stairway,109.49,13,3.0,2.0
90000000,0,39.6,3,100.0,220,4,individual,gas,stairway,46.18,30,1.0,1.0
299000000,1,84.94,1,449.0,449,3,individual,gas,stairway,106.91,221,3.0,2.0
282000000,0,84.9402,16,865.0,800,7,individual,gas,stairway,107.83,434,3.0,2.0
280000000,1,59.99,2,1346.0,1168,17,individual,gas,stairway,80.89,469,3.0,1.0
1040000000,1,84.8,7,7712.0,5678,72,district,cogeneration,stairway,111.52,2938,3.0,2.0
203500000,0,59.77,24,865.0,981,9,individual,gas,stairway,82.58,441,3.0,1.0
120000000,0,84.96,4,314.0,430,2,individual,gas,stairway,104.95,46,3.0,2.0
113000000,1,62.22,8,4753.0,3169,30,individual,gas,corridor,82.38,464,2.0,1.0
320000000,1,59.84,2,2199.0,1628,14,central,,corridor,84.54,570,3.0,1.0
395000000,0,134.19,14,952.0,896,10,district,cogeneration,stairway,159.59,180,5.0,2.0
148500000,0,84.99,1,1673.0,1424,18,individual,gas,stairway,104.25,570,3.0,2.0
366000000,0,117.27,9,1576.0,1112,17,central,gas,stairway,153.13,214,4.0,2.0
388000000,1,60.0,8,1064.0,813,9,individual,gas,stairway,81.63,244,3.0,2.0
170000000,1,59.85,2,298.0,359,4,individual,gas,stairway,75.57,36,3.0,1.0
338000000,1,84.72,4,1691.0,1317,6,central,gas,stairway,109.56,524,3.0,2.0
340000000,1,49.77,6,522.0,1372,6,district,cogeneration,corridor,66.56,442,3.0,1.0
240000000,1,84.97,5,3146.0,2810,25,individual,gas,stairway,99.67,1240,3.0,2.0
190000000,0,73.37,16,514.0,498,5,individual,gas,stairway,94.17,40,3.0,1.0
560000000,1,114.84,4,2134.0,1456,23,individual,gas,stairway,136.55,348,4.0,2.0
690000000,1,84.99,9,1267.0,1230,22,individual,gas,stairway,114.78,182,3.0,2.0
1790000000,1,140.9,17,1093.0,911,9,district,gas,stairway,163.56,272,4.0,2.0
943000000,1,84.99,16,7876.0,5563,65,district,cogeneration,stairway,110.3,350,3.0,2.0
310000000,1,84.87,2,1252.0,1668,18,district,cogeneration,stairway,105.79,56,3.0,2.0
1090000000,1,95.76,2,1306.0,1640,37,district,cogeneration,stairway,115.05,50,3.0,1.0
440000000,0,134.19,23,952.0,896,10,district,cogeneration,stairway,159.59,180,5.0,2.0
600000000,1,101.88,10,796.0,457,6,district,cogeneration,stairway,120.65,228,3.0,2.0
450000000,0,84.9402,12,865.0,800,7,individual,gas,stairway,107.83,243,3.0,2.0
368000000,1,84.99,2,179.0,140,1,individual,gas,stairway,113.44,59,3.0,2.0
1650000000,1,156.84,11,1466.0,2030,32,district,cogeneration,stairway,181.82,44,5.0,2.0
179300000,0,84.94,9,495.0,714,7,individual,gas,stairway,102.94,714,3.0,1.0
