transaction_real_price,city,exclusive_use_area,floor,total_parking_capacity_in_site,total_household_count_in_sites,apartment_building_count_in_sites,supply_area,total_household_count_of_area_type,room_count,bathroom_count,heat_fuel_cogeneration,heat_fuel_gas,heat_type_central,heat_type_district,heat_type_individual,front_door_structure_corridor,front_door_structure_mixed,front_door_structure_stairway
700000000,1,114.958,13,1002.0,859,11,139.74,94,4.0,2.0,0,1,0,0,1,0,0,1
73000000,0,81.36,2,75.0,150,1,97.56,84,3.0,1.0,0,1,0,0,1,0,0,1
442000000,1,84.96,17,5402.0,5387,49,109.42,676,3.0,2.0,0,1,1,0,0,0,0,1
490000000,1,114.96,5,1188.0,1329,16,134.86,270,4.0,2.0,0,1,0,0,1,0,0,1
238000000,1,49.77,12,522.0,1372,6,66.56,442,3.0,1.0,1,0,0,1,0,1,0,0
443000000,0,126.638,13,1578.0,922,9,150.81,200,4.0,2.0,0,1,0,0,1,0,0,1
100000000,0,84.97,14,541.0,987,13,102.63,548,3.0,2.0,0,1,0,0,1,0,0,1
545000000,1,59.97,8,242.0,434,4,81.64,210,2.0,1.0,0,1,0,0,1,1,0,0
380000000,1,60.0,9,2366.0,1971,28,81.91,112,3.0,1.0,0,1,0,0,1,0,0,1
98000000,0,59.91,14,500.0,423,4,76.59,175,3.0,1.0,0,1,0,0,1,1,0,0
91290000,0,59.87,2,194.0,241,3,86.39,181,3.0,1.0,0,1,0,0,1,0,0,1
340000000,0,84.97,22,2252.0,1895,17,106.74,69,3.0,2.0,0,1,0,0,1,0,0,1
520000000,1,84.93,9,619.0,564,7,105.95,35,3.0,2.0,0,1,0,0,1,0,0,1
100000000,0,39.87,4,217.0,358,1,66.12,8,2.0,1.0,0,1,0,0,1,0,0,1
845000000,0,131.27,7,3240.0,3060,33,157.99,576,4.0,2.0,0,1,1,0,0,0,0,1
595000000,1,84.81,2,1208.0,1170,13,99.82,773,3.0,2.0,0,1,0,0,1,0,0,1
200000000,0,84.9902,2,4697.0,3462,49,111.19,1534,3.0,2.0,0,1,0,0,1,0,0,1
190000000,1,38.64,14,1402.0,2002,16,50.4,540,2.0,1.0,0,1,0,0,1,1,0,0
670000000,1,79.61,3,138.0,261,3,98.91,54,3.0,1.0,1,0,0,1,0,0,0,1
348000000,0,129.2,20,717.0,674,5,160.77,125,4.0,2.0,0,1,0,0,1,0,0,1
350000000,0,129.7194,7,519.0,299,4,161.37,99,4.0,2.0,0,1,0,0,1,0,0,1
625000000,1,120.84,3,172.0,113,1,153.33,32,4.0,2.0,0,1,0,0,1,0,0,1
800000000,1,66.6,4,1285.0,2550,34,89.88,959,3.0,1.0,1,0,0,1,0,1,0,0
148000000,0,84.84,4,231.0,307,2,109.92,150,3.0,2.0,0,1,0,0,1,0,0,1
390000000,1,50.54,4,2968.0,3710,33,71.83,1120,3.0,1.0,0,1,1,0,0,1,0,0
76000000,0,71.67,9,124.0,293,3,92.56,106,3.0,1.0,0,1,0,0,1,0,0,1
213520000,0,84.95,12,524.0,474,11,110.24,164,3.0,2.0,0,1,0,0,1,0,0,1
297000000,1,84.96,16,561.0,561,2,104.62,198,3.0,2.0,0,1,1,0,0,0,0,1
750000000,1,66.6,10,1285.0,2550,34,89.88,959,3.0,1.0,1,0,0,1,0,1,0,0
470000000,1,164.92,12,2195.0,1998,25,199.78,50,5.0,2.0,0,1,0,0,1,0,0,1
244000000,1,39.6,10,619.0,1556,12,51.86,630,2.0,1.0,1,0,0,1,0,1,0,0
565000000,1,84.46,4,324.0,245,6,102.48,1,3.0,2.0,0,1,0,0,1,0,0,1
460000000,1,84.93,16,258.0,250,2,109.93,144,3.0,2.0,0,1,0,0,1,0,0,1
138000000,1,27.0,5,840.0,1200,4,35.39,540,1.0,1.0,1,0,0,1,0,1,0,0
175000000,0,59.7627,3,425.0,419,6,84.54,23,3.0,2.0,0,1,0,0,1,0,0,1
178000000,0,84.898,15,475.0,470,8,109.58,164,3.0,2.0,0,1,0,0,1,0,0,1
367500000,1,59.34,6,1239.0,1676,21,82.99,256,3.0,1.0,1,0,0,1,0,0,1,0
341000000,0,113.83,12,393.0,296,2,148.65,107,3.0,2.0,0,1,0,0,1,0,0,1
388000000,1,84.99,17,3060.0,2412,31,109.78,1182,3.0,2.0,0,1,0,0,1,0,0,1
630000000,1,84.99,14,479.0,435,4,105.73,78,3.0,2.0,0,1,0,0,1,0,0,1
740000000,1,101.65,6,3310.0,2517,42,125.24,156,3.0,2.0,1,0,0,1,0,0,0,1
244500000,0,59.919,16,513.0,511,8,81.98,132,3.0,2.0,0,1,0,0,1,0,0,1
75000000,0,25.5675,14,160.0,404,1,35.42,123,1.0,1.0,0,1,0,0,1,0,0,1
218000000,0,84.98,12,1430.0,1500,10,104.56,616,3.0,2.0,0,1,0,0,1,0,0,1
400000000,1,81.05,12,2073.0,1786,24,100.78,1178,3.0,2.0,0,1,0,0,1,0,0,1
244500000,1,34.29,7,440.0,366,1,45.35,189,1.0,1.0,0,1,0,0,1,1,0,0
155000000,0,84.28,5,900.0,900,11,101.68,600,3.0,2.0,0,1,0,0,1,0,0,1
820000000,1,82.45,6,2100.0,2100,21,108.43,672,3.0,2.0,1,0,0,1,0,1,0,0
303000000,1,46.26,3,900.0,1316,10,74.69,252,2.0,1.0,1,0,0,1,0,1,0,0
492000000,1,83.4,14,311.0,354,4,101.28,174,3.0,1.0,0,1,1,0,0,0,0,1
380000000,1,59.67,2,512.0,1056,10,73.22,252,2.0,1.0,0,1,0,0,1,1,0,0
110000000,0,41.52,11,3240.0,3060,33,55.33,263,2.0,1.0,0,1,1,0,0,1,0,0
320000000,0,43.71,10,1197.0,798,8,56.95,228,2.0,1.0,0,1,1,0,0,1,0,0
182500000,1,59.98,1,467.0,433,7,78.34,101,3.0,1.0,0,1,0,0,1,0,0,1
520000000,1,84.914,15,4190.0,2176,50,114.99,326,3.0,2.0,1,0,0,1,0,0,0,1
488000000,1,59.96,20,693.0,532,7,80.54,111,3.0,2.0,0,1,0,0,1,0,0,1
58000000,0,49.42,18,340.0,720,5,69.02,720,2.0,1.0,0,1,0,0,1,1,0,0
450000000,1,59.97,14,428.0,437,5,81.15,223,3.0,1.0,0,1,0,0,1,0,0,1
285000000,1,59.34,11,424.0,626,9,83.16,309,3.0,1.0,1,0,0,1,0,1,0,0
830000000,1,59.993,34,1684.0,1119,9,84.73,249,3.0,2.0,1,0,0,1,0,0,0,1
382000000,1,114.75,2,1691.0,1317,6,143.76,356,4.0,2.0,0,1,1,0,0,0,0,1
174000000,1,37.67,1,1016.0,1016,9,53.61,178,2.0,1.0,1,0,0,1,0,1,0,0
433000000,0,84.88799999999998,17,2381.0,1391,14,107.97,134,3.0,2.0,0,1,0,0,1,0,0,1
945000000,1,108.28,2,1879.0,3100,34,125.61,875,4.0,2.0,1,0,0,1,0,0,0,1
236000000,0,79.6089,17,1058.0,1028,13,101.09,254,4.0,2.0,0,1,0,0,1,0,0,1
355000000,1,79.11,14,492.0,942,10,105.32,177,3.0,1.0,0,1,0,0,1,1,0,0
242000000,0,59.94600000000001,2,895.0,852,12,79.91,372,3.0,1.0,1,0,0,1,0,0,0,1
356000000,0,84.92,13,467.0,464,5,112.01,232,3.0,2.0,0,1,0,0,1,0,0,1
710000000,1,84.96,2,153.0,166,2,103.18,102,3.0,2.0,1,0,0,1,0,0,0,1
765000000,1,74.74,15,998.0,809,12,102.17,160,3.0,2.0,1,0,0,1,0,0,0,1
328000000,1,59.98,10,448.0,403,7,78.36,131,3.0,1.0,0,1,0,0,1,0,0,1
290000000,1,84.9,2,282.0,361,3,103.93,178,3.0,2.0,0,1,0,0,1,0,0,1
600000000,1,114.93,1,935.0,787,11,137.03,199,4.0,2.0,0,1,0,0,1,0,0,1
450000000,1,48.69,3,757.0,1382,16,65.1,264,2.0,1.0,1,0,0,1,0,1,0,0
950000000,1,95.27,4,1444.0,1848,36,114.18,108,3.0,1.0,1,0,0,1,0,0,0,1
325000000,1,66.6,4,486.0,763,11,90.95,58,4.0,1.0,1,0,0,1,0,1,0,0
345000000,1,84.9,2,330.0,304,2,105.9,158,3.0,2.0,0,1,0,0,1,0,0,1
408000000,1,59.99,12,856.0,745,9,87.09,18,3.0,2.0,0,1,0,0,1,1,0,0
1160000000,1,84.95,20,1171.0,768,11,109.32,96,3.0,2.0,1,0,0,1,0,0,0,1
539000000,1,113.93,7,423.0,295,4,139.88,130,4.0,2.0,0,1,0,0,1,0,0,1
832000000,1,83.06,18,5540.0,5539,122,112.4,1933,3.0,1.0,1,0,0,1,0,0,0,1
274000000,0,84.84,4,955.0,926,7,106.42,294,3.0,2.0,0,1,0,0,1,0,0,1
155000000,1,36.16,1,1980.0,1980,11,52.55,1350,1.0,1.0,0,1,1,0,0,1,0,0
265000000,1,43.79,13,430.0,839,7,62.51,410,2.0,1.0,1,0,0,1,0,1,0,0
400000000,1,35.24,2,9766.0,6864,66,52.99,344,1.0,1.0,1,0,0,1,0,0,0,1
200500000,1,49.5,5,1800.0,3481,25,69.83,1177,3.0,1.0,1,0,0,1,0,1,0,0
165000000,0,88.8,7,499.0,462,4,113.87,233,3.0,2.0,0,1,0,0,1,0,0,1
187830000,0,84.57,1,316.0,284,6,112.61,20,3.0,2.0,0,1,0,0,1,0,0,1
150000000,0,59.941,2,884.0,882,11,77.25,167,3.0,2.0,0,1,0,0,1,0,0,1
400000000,1,114.92,1,297.0,273,5,142.01,36,4.0,2.0,0,1,0,0,1,0,0,1
104000000,0,68.13,7,276.0,276,3,86.55,138,3.0,1.0,0,1,0,0,1,0,0,1
855000000,1,74.4,12,1093.0,911,9,95.27,459,3.0,1.0,0,1,0,1,0,1,0,0
500000000,1,77.7418,13,729.0,734,7,97.53,20,3.0,2.0,0,1,0,0,1,0,0,1
110000000,0,84.89,14,885.0,1044,12,105.42,684,3.0,2.0,0,1,0,0,1,0,0,1
201000000,0,59.73,15,1346.0,988,12,75.04,176,3.0,1.0,0,1,0,0,1,0,0,1
455000000,1,59.92,15,551.0,657,7,83.98,150,3.0,2.0,1,0,0,1,0,0,0,1
1150000000,1,84.97,13,582.0,476,8,113.47,153,3.0,2.0,1,0,0,1,0,0,0,1
1325000000,1,122.81,14,1122.0,732,10,158.1,348,4.0,2.0,1,0,0,1,0,0,0,1
175000000,0,59.8,16,3776.0,3382,35,78.1,200,3.0,1.0,0,1,0,0,1,0,0,1
315000000,1,59.978,5,479.0,381,10,77.93,61,3.0,2.0,0,1,0,0,1,0,0,1
290000000,1,84.75,6,181.0,284,3,102.58,269,3.0,2.0,0,1,0,0,1,0,0,1
565000000,1,84.9,5,1140.0,948,12,105.77,948,3.0,2.0,0,1,1,0,0,0,0,1
960000000,1,84.99,20,7876.0,5563,65,109.47,46,3.0,2.0,1,0,0,1,0,0,0,1
313000000,1,59.97,1,1307.0,994,14,79.62,46,2.0,1.0,0,1,0,0,1,0,0,1
302500000,0,84.97399999999998,13,2136.0,1424,19,106.93,288,3.0,2.0,1,0,0,1,0,1,0,0
60500000,0,41.85,13,551.0,1484,14,57.11,836,2.0,1.0,0,1,0,0,1,1,0,0
283000000,1,59.7,4,117.0,100,1,82.22,53,3.0,1.0,0,1,0,0,1,0,0,1
210000000,0,59.83,14,494.0,444,8,79.34,59,3.0,1.0,1,0,0,1,0,0,0,1
436000000,1,84.98,15,993.0,689,11,107.97,280,3.0,2.0,0,1,0,0,1,0,0,1
78400000,0,77.17,2,126.0,263,2,93.09,15,3.0,1.0,0,1,0,0,1,0,0,1
482000000,1,84.96,3,1426.0,1332,20,110.67,100,3.0,2.0,0,1,0,0,1,0,0,1
185000000,1,45.54,12,558.0,694,5,60.1,154,1.0,1.0,0,1,0,1,0,1,0,0
135000000,0,59.99,9,1367.0,1408,10,80.49,504,3.0,1.0,0,1,0,0,1,1,0,0
172000000,0,77.82,10,375.0,988,6,94.2,180,3.0,2.0,0,1,0,0,1,0,0,1
114000000,0,48.51,15,640.0,640,4,66.94,640,2.0,1.0,0,1,0,0,1,1,0,0
109000000,0,52.11,6,258.0,714,9,71.74,714,3.0,1.0,0,1,0,0,1,1,0,0
320000000,0,130.905,10,513.0,589,4,147.78,128,4.0,2.0,0,1,0,0,1,0,0,1
320000000,1,64.4,14,138.0,344,3,85.78,75,2.0,1.0,0,1,0,0,1,1,0,0
950000000,1,108.28,10,1879.0,3100,34,125.61,875,4.0,2.0,1,0,0,1,0,0,0,1
1480000000,1,136.325,15,4494.0,4494,56,158.84,1416,4.0,2.0,1,0,0,1,0,0,0,1
409000000,1,84.87799999999999,21,1054.0,886,11,110.77,436,3.0,2.0,0,1,0,0,1,0,0,1
112560000,0,84.34,2,1440.0,1780,16,114.6,510,3.0,2.0,0,1,0,0,1,0,0,1
90000000,0,84.92,3,175.0,274,1,116.71,100,3.0,2.0,0,1,0,0,1,1,0,0
435000000,1,84.87,20,2990.0,2182,22,107.62,981,3.0,2.0,0,1,0,0,1,0,0,1
350000000,1,59.9,10,684.0,580,13,79.71,107,3.0,2.0,0,1,0,0,1,0,0,1
364000000,1,84.51,1,855.0,472,22,103.7,0,3.0,2.0,1,0,0,1,0,0,1,0
148000000,0,83.41,6,200.0,188,3,103.67,90,3.0,1.0,0,1,0,0,1,0,0,1
95000000,1,41.3,13,900.0,900,8,56.2,210,2.0,1.0,0,1,0,0,1,1,0,0
303000000,1,59.96,9,244.0,215,3,75.84,8,3.0,2.0,0,1,0,0,1,0,0,1
336000000,1,59.978,4,1533.0,1095,11,80.68,288,3.0,1.0,0,1,0,0,1,0,0,1
400000000,1,84.03,24,1544.0,1544,9,108.91,144,3.0,2.0,0,1,0,0,1,0,0,1
263000000,1,59.73,13,502.0,845,8,81.33,389,3.0,1.0,1,0,0,1,0,1,0,0
420000000,1,84.96700000000001,10,721.0,526,7,113.97,312,3.0,2.0,0,1,0,0,1,0,0,1
365000000,0,84.95,2,524.0,474,11,110.24,14,3.0,2.0,0,1,0,0,1,0,0,1
323000000,1,84.95,13,239.0,202,4,106.52,105,3.0,2.0,0,1,0,0,1,0,0,1
560000000,1,114.72,9,440.0,341,7,138.94,66,4.0,2.0,0,1,0,0,1,0,0,1
360000000,1,84.35,4,221.0,285,1,119.01,142,3.0,2.0,0,1,0,0,1,0,0,1
435000000,1,59.76,12,1349.0,1150,14,79.79,240,3.0,1.0,0,1,0,0,1,0,0,1
339000000,0,84.97,4,2252.0,1895,17,106.74,69,3.0,2.0,0,1,0,0,1,0,0,1
490000000,0,101.8128,28,1693.0,862,8,131.18,141,3.0,2.0,0,1,0,0,1,0,0,1
110000000,0,59.75,2,217.0,454,5,78.55,158,3.0,1.0,0,1,0,0,1,0,1,0
400000000,1,84.67,8,188.0,153,3,102.55,58,3.0,2.0,0,1,0,0,1,0,0,1
93700000,0,59.98,3,774.0,763,6,80.54,229,3.0,1.0,0,1,0,0,1,0,0,1
714900000,1,114.46,2,1637.0,1304,26,153.12,40,4.0,2.0,0,1,0,0,1,0,0,1
645000000,1,84.97,15,1020.0,680,12,104.74,582,3.0,2.0,1,0,0,1,0,0,0,1
432000000,1,116.76,12,528.0,660,6,137.13,156,4.0,2.0,0,1,1,0,0,0,0,1
269000000,1,57.84,3,84.0,224,2,76.03,46,3.0,1.0,0,1,0,0,1,1,0,0
123000000,0,49.77,13,551.0,1484,14,67.92,240,2.0,1.0,0,1,0,0,1,1,0,0
1530000000,1,131.07,12,750.0,615,7,140.69,180,5.0,2.0,1,0,0,1,0,0,0,1
369000000,0,84.6528,6,4599.0,2752,14,114.16,270,3.0,2.0,0,1,0,0,1,0,0,1
90000000,0,39.3,2,380.0,520,12,39.3,130,1.0,1.0,0,1,0,0,1,0,0,1
375000000,1,66.48,6,1252.0,1668,18,85.83,162,3.0,1.0,1,0,0,1,0,0,0,1
331710000,0,113.1474,12,505.0,299,5,146.45,108,4.0,2.0,0,1,0,0,1,0,0,1
485000000,0,127.489,41,1405.0,998,6,170.24,288,4.0,2.0,0,1,0,0,1,0,0,1
365000000,1,84.93,7,288.0,258,3,107.24,71,3.0,2.0,0,1,0,0,1,1,0,0
